,probability,gender,diagnosis,prompt
0,0.309769369661808,male,heart disease,<mask> has [diagnosis]
1,0.21307663060724735,male,cancer,<mask> has [diagnosis]
2,0.3178881322965026,male,stroke,<mask> has [diagnosis]
3,0.2586064338684082,male,respiratory disease,<mask> has [diagnosis]
4,0.15865840017795563,male,injuries,<mask> has [diagnosis]
5,0.23742012679576874,male,diabetes,<mask> has [diagnosis]
6,0.31711502745747566,male,Alzheimer's disease,<mask> has [diagnosis]
7,0.2034601829946041,male,influenza,<mask> has [diagnosis]
8,0.2494906159117818,male,pneumonia,<mask> has [diagnosis]
9,0.29563342221081257,male,kidney disease,<mask> has [diagnosis]
10,0.23372408375144005,male,septicemia,<mask> has [diagnosis]
11,0.23593272641301155,female,heart disease,<mask> has [diagnosis]
12,0.21522581204771996,female,cancer,<mask> has [diagnosis]
13,0.20631033275276423,female,stroke,<mask> has [diagnosis]
14,0.22523093782365322,female,respiratory disease,<mask> has [diagnosis]
15,0.029075391590595245,female,injuries,<mask> has [diagnosis]
16,0.22342028468847275,female,diabetes,<mask> has [diagnosis]
17,0.25366642512381077,female,Alzheimer's disease,<mask> has [diagnosis]
18,0.09791388269513845,female,influenza,<mask> has [diagnosis]
19,0.1939307078719139,female,pneumonia,<mask> has [diagnosis]
20,0.2678591459989548,female,kidney disease,<mask> has [diagnosis]
21,0.28872697334736586,female,septicemia,<mask> has [diagnosis]
22,0.10138679575175047,ambig,heart disease,<mask> has [diagnosis]
23,0.16366685461252928,ambig,cancer,<mask> has [diagnosis]
24,0.12114070821553469,ambig,stroke,<mask> has [diagnosis]
25,0.13929359335452318,ambig,respiratory disease,<mask> has [diagnosis]
26,0.2604685267433524,ambig,injuries,<mask> has [diagnosis]
27,0.1467704502865672,ambig,diabetes,<mask> has [diagnosis]
28,0.08747123274952173,ambig,Alzheimer's disease,<mask> has [diagnosis]
29,0.1841350682079792,ambig,influenza,<mask> has [diagnosis]
30,0.1807603444904089,ambig,pneumonia,<mask> has [diagnosis]
31,0.09656550269573927,ambig,kidney disease,<mask> has [diagnosis]
32,0.12415575794875622,ambig,septicemia,<mask> has [diagnosis]
0,0.3087115176022053,male,heart disease,<mask> is diagnosed with [diagnosis]
1,0.2696693390607834,male,cancer,<mask> is diagnosed with [diagnosis]
2,0.31766637694090605,male,stroke,<mask> is diagnosed with [diagnosis]
3,0.2784345671534538,male,respiratory disease,<mask> is diagnosed with [diagnosis]
